Date,Product,Status,Supplier,Material,avg_lead_time,on_time_rate,quality_score,criticality,quantity
2025-03-31,Widget D,Pending,Supplier W,Material 1,10,0.88,0.75,Low,117
2025-04-29,Widget C,Delayed,Supplier Z,Material 2,4,0.65,0.87,Medium,242
2025-04-02,Widget D,Pending,Supplier X,Material 3,5,0.88,0.79,High,256
2025-03-31,Widget C,Delivered,Supplier X,Material 4,5,0.66,0.84,High,300
2025-04-19,Widget B,Delayed,Supplier Z,Material 2,6,0.75,0.83,Low,221
2025-04-24,Widget A,Delivered,Supplier X,Material 2,6,0.87,0.8,Low,174
2025-05-01,Widget C,Delivered,Supplier W,Material 1,6,0.72,0.82,Low,66
2025-04-09,Widget B,Delayed,Supplier Z,Material 4,5,0.51,0.86,Low,167
2025-04-26,Widget A,Pending,Supplier Z,Material 1,6,0.62,0.79,Medium,232
2025-05-05,Widget B,Pending,Supplier Y,Material 1,6,0.74,0.89,Medium,67
2025-05-04,Widget D,Pending,Supplier Y,Material 2,5,0.69,0.91,High,194
2025-04-18,Widget D,Delayed,Supplier W,Material 4,5,0.85,0.77,High,169
2025-04-03,Widget C,Delayed,Supplier W,Material 4,6,0.76,0.73,Low,136
2025-04-10,Widget B,Delayed,Supplier Z,Material 2,8,0.79,0.87,Low,298
2025-05-04,Widget D,Delivered,Supplier Z,Material 2,5,0.59,0.88,High,221
2025-04-15,Widget C,Delayed,Supplier Z,Material 2,10,0.84,0.92,Low,166
2025-04-24,Widget B,Pending,Supplier Z,Material 1,7,0.54,0.95,Low,128
2025-04-13,Widget B,Pending,Supplier W,Material 1,3,0.88,0.83,High,291
2025-04-22,Widget C,Delayed,Supplier Y,Material 3,7,0.67,0.76,Medium,89
2025-05-08,Widget A,Pending,Supplier Z,Material 3,7,0.63,0.72,Medium,209
2025-05-08,Widget C,Pending,Supplier Y,Material 1,10,0.54,0.75,Medium,134
2025-04-18,Widget C,Pending,Supplier Z,Material 3,10,0.64,0.95,Low,97
2025-05-14,Widget A,Pending,Supplier W,Material 4,5,0.66,0.71,Medium,97
2025-04-16,Widget B,Delivered,Supplier Y,Material 2,6,0.91,0.9,High,72
2025-05-07,Widget B,Pending,Supplier Z,Material 1,9,0.91,0.74,Low,278
2025-04-24,Widget B,Delayed,Supplier X,Material 2,3,0.99,0.85,High,216
2025-04-01,Widget C,Delayed,Supplier W,Material 3,7,0.73,0.88,Medium,250
2025-04-06,Widget B,Pending,Supplier Y,Material 2,9,0.57,0.72,High,189
2025-04-01,Widget A,Delayed,Supplier Z,Material 1,9,0.84,0.78,Medium,170
2025-04-05,Widget B,Delivered,Supplier Z,Material 1,8,0.78,0.94,High,72
2025-04-30,Widget C,Delayed,Supplier W,Material 2,3,0.85,0.83,Medium,266
2025-04-24,Widget D,Delayed,Supplier X,Material 1,9,0.68,0.87,High,279
2025-04-29,Widget C,Pending,Supplier Z,Material 3,4,0.71,0.94,Low,244
2025-05-01,Widget A,Delivered,Supplier Z,Material 3,4,0.7,0.77,Medium,213
2025-04-16,Widget C,Delivered,Supplier Z,Material 1,4,0.87,0.9,Medium,190
2025-04-10,Widget C,Pending,Supplier X,Material 3,6,1.0,0.82,Medium,168
2025-05-07,Widget B,Pending,Supplier Y,Material 2,6,0.55,0.87,Medium,288
2025-05-14,Widget A,Delayed,Supplier Z,Material 2,3,0.88,0.88,Low,264
2025-05-02,Widget B,Delivered,Supplier X,Material 3,10,0.77,0.9,High,156
2025-04-18,Widget A,Delivered,Supplier W,Material 4,6,0.76,0.84,Low,255
2025-04-29,Widget B,Delayed,Supplier Y,Material 4,8,0.69,0.92,High,145
2025-04-04,Widget D,Pending,Supplier W,Material 4,3,0.57,0.93,High,275
2025-05-07,Widget D,Delayed,Supplier Y,Material 4,6,0.53,0.84,Medium,167
2025-04-20,Widget D,Pending,Supplier Z,Material 3,4,0.84,0.93,Medium,297
2025-04-10,Widget D,Pending,Supplier Y,Material 4,10,0.81,0.87,Low,268
2025-04-22,Widget A,Delayed,Supplier W,Material 3,10,0.88,0.82,Low,158
2025-04-16,Widget D,Delayed,Supplier X,Material 1,10,0.51,0.79,Medium,273
2025-04-15,Widget A,Pending,Supplier Z,Material 2,6,0.75,0.85,Medium,258
2025-04-23,Widget D,Pending,Supplier Y,Material 3,10,0.89,0.89,High,63
2025-04-16,Widget D,Pending,Supplier W,Material 4,6,0.56,0.84,Medium,155
2025-05-06,Widget C,Delayed,Supplier W,Material 3,4,0.79,0.7,Low,226
2025-04-05,Widget C,Delivered,Supplier X,Material 1,10,0.64,0.73,High,71
2025-04-05,Widget C,Pending,Supplier X,Material 1,8,0.59,0.72,Low,193
2025-05-12,Widget C,Pending,Supplier X,Material 1,8,0.95,0.95,Medium,114
2025-04-12,Widget A,Delivered,Supplier Y,Material 2,9,0.89,0.78,Low,147
2025-04-18,Widget D,Delivered,Supplier W,Material 3,6,0.74,0.81,Low,165
2025-04-16,Widget C,Delayed,Supplier X,Material 4,4,0.61,0.72,Medium,185
2025-04-19,Widget C,Pending,Supplier X,Material 2,4,0.72,0.81,Low,193
2025-04-09,Widget D,Pending,Supplier X,Material 3,9,0.81,0.91,Medium,216
